Name,District,Sentiment,Comment,Date,Predicted_Sentiment,Sentiment_Score,Entities,Topic,Sentiment_Match
Ellen Jordan,Kicukiro,Negative,The new fare model is confusing and costly for daily commuters.,7/13/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily,False
Adrian Carroll,Nyarugenge,Negative,This new fare system is too expensive for long commutes.,6/26/2024,neutral,0.0,[],new model daily,False
Stephanie Jackson,Gasabo,Positive,"Finally, we pay based on how far we go. This is a great improvement!",11/28/2024,positive,0.6905693411827087,[],transport make efficient,True
Erica Foster,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,4/17/2024,neutral,0.0,[],new model daily,True
Ronald Arroyo,Nyarugenge,Negative,I preferred the flat rate fare. It was simpler and cheaper.,11/24/2024,neutral,0.0,[],rate flat preferred,False
Sarah Ortiz,Nyarugenge,Positive,This new fare system saves me money on short trips.,4/12/2024,positive,0.2453068792819976,[],short trip money,True
Christopher Campbell,Nyarugenge,Positive,This new fare system saves me money on short trips.,6/11/2024,positive,0.2453068792819976,[],short trip money,True
John Morris,Kicukiro,Negative,Distance-based pricing is unfair to people who live far from the city.,6/13/2024,negative,-0.5757277607917786,[],transport make efficient,True
Shelly Vasquez,Nyarugenge,Positive,I think the distance-based fare is much fairer than the flat rate.,10/30/2024,neutral,0.0,[],rate flat preferred,False
Emma Holmes,Kicukiro,Positive,This new fare system saves me money on short trips.,4/8/2024,positive,0.2453068792819976,[],short trip money,True
Dustin Obrien,Gasabo,Negative,Distance-based pricing is unfair to people who live far from the city.,6/22/2024,negative,-0.5757277607917786,[],transport make efficient,True
Jillian Allen,Kicukiro,Positive,Distance-based fares make the public transport system more efficient.,10/8/2024,positive,0.4355466365814209,[],transport make efficient,True
Brian Edwards MD,Gasabo,Positive,I like the new system. It's more transparent and reasonable.,11/2/2024,positive,0.4568903744220733,[],new model daily,True
Glenn Hale,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,12/28/2024,positive,0.4355466365814209,[],transport make efficient,True
Carl Johnson,Nyarugenge,Negative,I preferred the flat rate fare. It was simpler and cheaper.,2/8/2024,neutral,0.0,[],rate flat preferred,False
Andrew Carpenter,Nyarugenge,Positive,I like the new system. It's more transparent and reasonable.,1/10/2024,positive,0.4568903744220733,[],new model daily,True
Leslie Lynn,Kicukiro,Neutral,The distance-based fare has pros and cons depending on where you live.,11/19/2024,positive,0.3393283188343048,[],transport make efficient,False
Terry Rivera,Gasabo,Neutral,The distance-based fare has pros and cons depending on where you live.,3/14/2024,positive,0.3393283188343048,[],transport make efficient,False
Melissa Park,Nyarugenge,Negative,The new fare model is confusing and costly for daily commuters.,3/27/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily,False
Nicholas Shannon,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,9/22/2024,negative,-0.3974328935146332,[],worse tell early,False
Susan Bryan,Kicukiro,Negative,Now I pay more for the same journey. This is not fair!,8/22/2024,positive,0.3310074508190155,[],transport make efficient,False
Jason Beck,Gasabo,Positive,I like the new system. It's more transparent and reasonable.,12/6/2024,positive,0.4568903744220733,[],new model daily,True
Cody Carpenter,Nyarugenge,Negative,I preferred the flat rate fare. It was simpler and cheaper.,8/3/2024,neutral,0.0,[],rate flat preferred,False
Stacy Wolfe,Nyarugenge,Positive,"Finally, we pay based on how far we go. This is a great improvement!",12/10/2024,positive,0.6905693411827087,[],transport make efficient,True
Ariana Patrick,Nyarugenge,Negative,The new fare model is confusing and costly for daily commuters.,2/13/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily,False
Lauren Meyer,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,1/30/2024,neutral,0.0,[],rate flat preferred,False
Samuel Tucker,Kicukiro,Positive,This new fare system saves me money on short trips.,8/5/2024,positive,0.2453068792819976,[],short trip money,True
Jennifer Mcguire,Kicukiro,Neutral,The change is interesting but needs more public education.,5/7/2024,positive,0.3718062341213226,[],transport make efficient,False
David Allen,Kicukiro,Neutral,I don't see much difference between the old and new fare systems.,3/5/2024,neutral,0.0,[],new model daily,True
Nicholas Daniels,Kicukiro,Positive,I like the new system. It's more transparent and reasonable.,3/24/2024,positive,0.4568903744220733,[],new model daily,True
David Garner,Gasabo,Positive,This new fare system saves me money on short trips.,3/21/2024,positive,0.2453068792819976,[],short trip money,True
Jacob Evans,Kicukiro,Positive,"Finally, we pay based on how far we go. This is a great improvement!",4/15/2024,positive,0.6905693411827087,[],transport make efficient,True
Kelly Reese,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,6/1/2024,neutral,0.0,[],rate flat preferred,False
Brian Bush,Gasabo,Negative,Now I pay more for the same journey. This is not fair!,10/16/2024,positive,0.3310074508190155,[],transport make efficient,False
Michael Gomez,Nyarugenge,Neutral,The change is interesting but needs more public education.,7/24/2024,positive,0.3718062341213226,[],transport make efficient,False
Matthew Carter,Kicukiro,Neutral,I'm still getting used to the new pricing system.,4/5/2024,positive,0.3760138154029846,[],new model daily,False
Courtney Baker,Nyarugenge,Positive,This new fare system saves me money on short trips.,8/24/2024,positive,0.2453068792819976,[],short trip money,True
Anthony Abbott,Nyarugenge,Neutral,The change is interesting but needs more public education.,2/28/2024,positive,0.3718062341213226,[],transport make efficient,False
Olivia Rodgers,Nyarugenge,Neutral,The distance-based fare has pros and cons depending on where you live.,2/26/2024,positive,0.3393283188343048,[],transport make efficient,False
Kelsey Manning,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,10/27/2024,positive,0.4355466365814209,[],transport make efficient,True
Richard Juarez,Gasabo,Positive,This new fare system saves me money on short trips.,10/18/2024,positive,0.2453068792819976,[],short trip money,True
Jesus Rogers,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,10/20/2024,positive,0.4355466365814209,[],transport make efficient,True
Jason Cox,Gasabo,Neutral,It’s too early to tell if this system is better or worse.,2/15/2024,negative,-0.3974328935146332,[],worse tell early,False
Erin Mason,Nyarugenge,Negative,Distance-based pricing is unfair to people who live far from the city.,3/6/2024,negative,-0.5757277607917786,[],transport make efficient,True
Justin Miller,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,4/15/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily,False
Jeremy Potter,Kicukiro,Positive,This new fare system saves me money on short trips.,1/9/2024,positive,0.2453068792819976,[],short trip money,True
Nicole Montgomery,Nyarugenge,Neutral,I don't see much difference between the old and new fare systems.,2/12/2024,neutral,0.0,[],new model daily,True
Susan Andrews,Gasabo,Neutral,It’s too early to tell if this system is better or worse.,12/30/2024,negative,-0.3974328935146332,[],worse tell early,False
Jonathan Stevens,Kicukiro,Positive,I like the new system. It's more transparent and reasonable.,11/9/2024,positive,0.4568903744220733,[],new model daily,True
Robert Holmes,Gasabo,Neutral,It’s too early to tell if this system is better or worse.,4/30/2024,negative,-0.3974328935146332,[],worse tell early,False
Tina Clark,Gasabo,Positive,"Finally, we pay based on how far we go. This is a great improvement!",2/4/2024,positive,0.6905693411827087,[],transport make efficient,True
Sandra Allen,Nyarugenge,Negative,I preferred the flat rate fare. It was simpler and cheaper.,7/9/2024,neutral,0.0,[],rate flat preferred,False
Julia Allen,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,10/26/2024,neutral,0.0,[],new model daily,True
Julia Tyler,Gasabo,Negative,This new fare system is too expensive for long commutes.,11/4/2024,neutral,0.0,[],new model daily,False
Kelly Salas,Kicukiro,Negative,The new fare model is confusing and costly for daily commuters.,11/3/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily,False
Julie Mcgee,Nyarugenge,Negative,This new fare system is too expensive for long commutes.,8/9/2024,neutral,0.0,[],new model daily,False
Brandon Miller,Nyarugenge,Positive,I like the new system. It's more transparent and reasonable.,4/3/2024,positive,0.4568903744220733,[],new model daily,True
Amanda Jones,Nyarugenge,Neutral,I'm still getting used to the new pricing system.,2/9/2024,positive,0.3760138154029846,[],new model daily,False
David Edwards,Nyarugenge,Positive,This new fare system saves me money on short trips.,12/6/2024,positive,0.2453068792819976,[],short trip money,True
Paul Mack,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,8/11/2024,neutral,0.0,[],rate flat preferred,False
Jon Schmidt,Gasabo,Positive,"Finally, we pay based on how far we go. This is a great improvement!",10/19/2024,positive,0.6905693411827087,[],transport make efficient,True
Robert Pittman,Kicukiro,Positive,This new fare system saves me money on short trips.,11/24/2024,positive,0.2453068792819976,[],short trip money,True
Gina Myers,Kicukiro,Negative,This new fare system is too expensive for long commutes.,10/21/2024,neutral,0.0,[],new model daily,False
Karen Bridges,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,10/20/2024,negative,-0.3974328935146332,[],worse tell early,False
James Lynch,Kicukiro,Positive,I like the new system. It's more transparent and reasonable.,3/29/2024,positive,0.4568903744220733,[],new model daily,True
Alicia Ortega,Gasabo,Positive,I like the new system. It's more transparent and reasonable.,9/27/2024,positive,0.4568903744220733,[],new model daily,True
John Salazar,Nyarugenge,Negative,I preferred the flat rate fare. It was simpler and cheaper.,2/25/2024,neutral,0.0,[],rate flat preferred,False
William Palmer,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,12/31/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily,False
Mr. Christopher Phillips,Kicukiro,Neutral,I'm still getting used to the new pricing system.,4/11/2024,positive,0.3760138154029846,[],new model daily,False
Jacob Anderson,Gasabo,Negative,This new fare system is too expensive for long commutes.,1/8/2024,neutral,0.0,[],new model daily,False
Dr. Melanie Bennett,Kicukiro,Neutral,I don't see much difference between the old and new fare systems.,12/12/2024,neutral,0.0,[],new model daily,True
Jamie Jensen,Kicukiro,Positive,This new fare system saves me money on short trips.,12/16/2024,positive,0.2453068792819976,[],short trip money,True
Donna Spencer,Gasabo,Neutral,The distance-based fare has pros and cons depending on where you live.,10/5/2024,positive,0.3393283188343048,[],transport make efficient,False
Jimmy Cox,Kicukiro,Positive,I think the distance-based fare is much fairer than the flat rate.,6/1/2024,neutral,0.0,[],rate flat preferred,False
Christina Terry,Gasabo,Positive,I think the distance-based fare is much fairer than the flat rate.,5/25/2024,neutral,0.0,[],rate flat preferred,False
John Collins,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.,4/13/2024,negative,-0.3974328935146332,[],worse tell early,False
Shannon Martinez,Nyarugenge,Positive,This new fare system saves me money on short trips.,10/25/2024,positive,0.2453068792819976,[],short trip money,True
Michael Knapp,Nyarugenge,Negative,The new fare model is confusing and costly for daily commuters.,10/2/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily,False
Madison Rivera,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,7/6/2024,positive,0.4355466365814209,[],transport make efficient,True
Misty Smith,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,9/1/2024,positive,0.4355466365814209,[],transport make efficient,True
Denise Love,Nyarugenge,Positive,"Finally, we pay based on how far we go. This is a great improvement!",9/17/2024,positive,0.6905693411827087,[],transport make efficient,True
Chelsea Jones,Nyarugenge,Positive,I think the distance-based fare is much fairer than the flat rate.,9/13/2024,neutral,0.0,[],rate flat preferred,False
Nicole Hall,Kicukiro,Neutral,I don't see much difference between the old and new fare systems.,11/4/2024,neutral,0.0,[],new model daily,True
Marie Baxter,Nyarugenge,Neutral,The distance-based fare has pros and cons depending on where you live.,6/12/2024,positive,0.3393283188343048,[],transport make efficient,False
Kayla Guerrero,Gasabo,Positive,Distance-based fares make the public transport system more efficient.,3/30/2024,positive,0.4355466365814209,[],transport make efficient,True
Michael Velez,Gasabo,Positive,"Finally, we pay based on how far we go. This is a great improvement!",9/9/2024,positive,0.6905693411827087,[],transport make efficient,True
Alexander Smith,Gasabo,Neutral,It’s too early to tell if this system is better or worse.,11/7/2024,negative,-0.3974328935146332,[],worse tell early,False
Dana Armstrong,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,9/25/2024,neutral,0.0,[],new model daily,True
Scott Long,Gasabo,Negative,Now I pay more for the same journey. This is not fair!,8/12/2024,positive,0.3310074508190155,[],transport make efficient,False
Elizabeth Cowan,Nyarugenge,Positive,I like the new system. It's more transparent and reasonable.,8/27/2024,positive,0.4568903744220733,[],new model daily,True
Dennis Wright PhD,Kicukiro,Positive,Distance-based fares make the public transport system more efficient.,12/28/2024,positive,0.4355466365814209,[],transport make efficient,True
Lisa Ortega,Kicukiro,Negative,The new fare model is confusing and costly for daily commuters.,12/21/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily,False
Michael Griffin,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.,5/22/2024,neutral,0.0,[],rate flat preferred,False
Connie Jones,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.,11/25/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily,False
Bradley Bowman,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.,8/12/2024,positive,0.4355466365814209,[],transport make efficient,True
Angelica Williams,Gasabo,Neutral,The distance-based fare has pros and cons depending on where you live.,12/20/2024,positive,0.3393283188343048,[],transport make efficient,False
Ronald Walters,Nyarugenge,Positive,I like the new system. It's more transparent and reasonable.,4/23/2024,positive,0.4568903744220733,[],new model daily,True
Michelle Barajas,Gasabo,Neutral,It’s too early to tell if this system is better or worse.,8/9/2024,negative,-0.3974328935146332,[],worse tell early,False
Jonathan Henderson,Gasabo,Neutral,I don't see much difference between the old and new fare systems.,2/18/2024,neutral,0.0,[],new model daily,True
Sara Brown,Gasabo,Positive,"Finally, we pay based on how far we go. This is a great improvement!",6/5/2024,positive,0.6905693411827087,[],transport make efficient,True
Kevin Miller,Kicukiro,Negative,The new fare model is confusing and costly for daily commuters.,4/29/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily,False
Mrs. Heather Leonard DVM,Gasabo,Neutral,I'm still getting used to the new pricing system.,12/16/2024,positive,0.3760138154029846,[],new model daily,False
Dakota Jones,Nyarugenge,Neutral,The change is interesting but needs more public education.,12/6/2024,positive,0.3718062341213226,[],transport make efficient,False
Thomas Boyer,Kicukiro,Negative,The new fare model is confusing and costly for daily commuters.,3/31/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily,False
Christopher Pearson,Gasabo,Neutral,I'm still getting used to the new pricing system.,9/16/2024,positive,0.3760138154029846,[],new model daily,False
Andrew Wyatt,Nyarugenge,Positive,This new fare system saves me money on short trips.,5/28/2024,positive,0.2453068792819976,[],short trip money,True
Jennifer Pham,Nyarugenge,Negative,The new fare model is confusing and costly for daily commuters.,8/25/2024,neutral,0.0,"[{'text': 'daily', 'label': 'DATE'}]",new model daily,False
Brittney Marshall,Gasabo,Positive,I like the new system. It's more transparent and reasonable.,4/2/2024,positive,0.4568903744220733,[],new model daily,True
Joseph Wagner,Gasabo,Positive,"Finally, we pay based on how far we go. This is a great improvement!",5/8/2024,positive,0.6905693411827087,[],transport make efficient,True
Stephanie Stone,Gasabo,Negative,Now I pay more for the same journey. This is not fair!,6/9/2024,positive,0.3310074508190155,[],transport make efficient,False
Melissa Roberts,Kicukiro,Neutral,I'm still getting used to the new pricing system.,2/25/2024,positive,0.3760138154029846,[],new model daily,False
Anthony Fleming,Nyarugenge,Negative,This new fare system is too expensive for long commutes.,11/2/2024,neutral,0.0,[],new model daily,False
Ricardo Howell,Gasabo,Positive,Distance-based fares make the public transport system more efficient.,12/9/2024,positive,0.4355466365814209,[],transport make efficient,True
Peter Harris,Nyarugenge,Positive,This new fare system saves me money on short trips.,12/5/2024,positive,0.2453068792819976,[],short trip money,True
Katherine Gilbert,Gasabo,Positive,"Finally, we pay based on how far we go. This is a great improvement!",11/11/2024,positive,0.6905693411827087,[],transport make efficient,True
